areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate
overview,United Kingdom,K02000001,13/02/2021,505362,15062189
overview,United Kingdom,K02000001,12/02/2021,544603,14556827
overview,United Kingdom,K02000001,11/02/2021,503116,14012224
overview,United Kingdom,K02000001,10/02/2021,450810,13509108
overview,United Kingdom,K02000001,09/02/2021,411812,13058298
overview,United Kingdom,K02000001,08/02/2021,352480,12646486
overview,United Kingdom,K02000001,07/02/2021,278988,12294006
overview,United Kingdom,K02000001,06/02/2021,549808,12015018
overview,United Kingdom,K02000001,05/02/2021,494163,11465210
overview,United Kingdom,K02000001,04/02/2021,480560,10971047
overview,United Kingdom,K02000001,03/02/2021,469016,10490487
overview,United Kingdom,K02000001,02/02/2021,374756,10021471
overview,United Kingdom,K02000001,01/02/2021,350348,9646715
overview,United Kingdom,K02000001,31/01/2021,319038,9296367
overview,United Kingdom,K02000001,30/01/2021,598389,8977329
overview,United Kingdom,K02000001,29/01/2021,487756,8378940
overview,United Kingdom,K02000001,28/01/2021,414419,7891184
overview,United Kingdom,K02000001,27/01/2021,312378,7476765
overview,United Kingdom,K02000001,26/01/2021,311060,7164387
overview,United Kingdom,K02000001,25/01/2021,279757,6853327
overview,United Kingdom,K02000001,24/01/2021,220249,6573570
overview,United Kingdom,K02000001,23/01/2021,491970,6353321
overview,United Kingdom,K02000001,22/01/2021,478248,5861351
overview,United Kingdom,K02000001,21/01/2021,409855,5383103
overview,United Kingdom,K02000001,20/01/2021,363508,4973248
overview,United Kingdom,K02000001,19/01/2021,343163,4609740
overview,United Kingdom,K02000001,18/01/2021,204076,4266577
overview,United Kingdom,K02000001,17/01/2021,190107,4062501
overview,United Kingdom,K02000001,16/01/2021,296131,3872394
overview,United Kingdom,K02000001,15/01/2021,341317,3576263
overview,United Kingdom,K02000001,14/01/2021,316694,3234946
overview,United Kingdom,K02000001,13/01/2021,278943,2918252
overview,United Kingdom,K02000001,12/01/2021,207661,2639309
overview,United Kingdom,K02000001,11/01/2021,145076,2431648
overview,United Kingdom,K02000001,10/01/2021,,2286572
