areaType,areaName,areaCode,date,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,15/03/2021,53366,1663646
overview,United Kingdom,K02000001,14/03/2021,25371,1610280
overview,United Kingdom,K02000001,13/03/2021,52155,1584909
overview,United Kingdom,K02000001,12/03/2021,87676,1532754
overview,United Kingdom,K02000001,11/03/2021,93563,1445078
overview,United Kingdom,K02000001,10/03/2021,97162,1351515
overview,United Kingdom,K02000001,09/03/2021,72922,1254353
overview,United Kingdom,K02000001,08/03/2021,38788,1181431
overview,United Kingdom,K02000001,07/03/2021,20241,1142643
overview,United Kingdom,K02000001,06/03/2021,31562,1122402
overview,United Kingdom,K02000001,05/03/2021,56772,1090840
overview,United Kingdom,K02000001,04/03/2021,70206,1034068
overview,United Kingdom,K02000001,03/03/2021,68450,963862
overview,United Kingdom,K02000001,02/03/2021,51314,895412
overview,United Kingdom,K02000001,01/03/2021,28282,844098
overview,United Kingdom,K02000001,28/02/2021,19684,815816
overview,United Kingdom,K02000001,27/02/2021,27322,796132
overview,United Kingdom,K02000001,26/02/2021,32773,768810
overview,United Kingdom,K02000001,25/02/2021,35319,736037
overview,United Kingdom,K02000001,24/02/2021,31613,700718
overview,United Kingdom,K02000001,23/02/2021,26317,669105
overview,United Kingdom,K02000001,22/02/2021,18463,642788
overview,United Kingdom,K02000001,21/02/2021,9177,624325
overview,United Kingdom,K02000001,20/02/2021,10263,615148
overview,United Kingdom,K02000001,19/02/2021,15294,604885
overview,United Kingdom,K02000001,18/02/2021,15867,589591
overview,United Kingdom,K02000001,17/02/2021,15147,573724
overview,United Kingdom,K02000001,16/02/2021,12412,558577
overview,United Kingdom,K02000001,15/02/2021,6535,546165
overview,United Kingdom,K02000001,14/02/2021,1915,539630
overview,United Kingdom,K02000001,13/02/2021,2846,537715
overview,United Kingdom,K02000001,12/02/2021,4775,534869
overview,United Kingdom,K02000001,11/02/2021,5647,530094
overview,United Kingdom,K02000001,10/02/2021,4894,524447
overview,United Kingdom,K02000001,09/02/2021,3161,519553
overview,United Kingdom,K02000001,08/02/2021,3811,516392
overview,United Kingdom,K02000001,07/02/2021,862,512581
overview,United Kingdom,K02000001,06/02/2021,1662,511719
overview,United Kingdom,K02000001,05/02/2021,4064,510057
overview,United Kingdom,K02000001,04/02/2021,4036,505993
overview,United Kingdom,K02000001,03/02/2021,2995,501957
overview,United Kingdom,K02000001,02/02/2021,2166,498962
overview,United Kingdom,K02000001,01/02/2021,2587,496796
overview,United Kingdom,K02000001,31/01/2021,3156,494209
overview,United Kingdom,K02000001,30/01/2021,10621,491053
overview,United Kingdom,K02000001,29/01/2021,2178,480432
overview,United Kingdom,K02000001,28/01/2021,1769,478254
overview,United Kingdom,K02000001,27/01/2021,2329,476485
overview,United Kingdom,K02000001,26/01/2021,1710,474156
overview,United Kingdom,K02000001,25/01/2021,1968,472446
overview,United Kingdom,K02000001,24/01/2021,818,470478
overview,United Kingdom,K02000001,23/01/2021,1043,469660
overview,United Kingdom,K02000001,22/01/2021,1821,468617
overview,United Kingdom,K02000001,21/01/2021,2760,466796
overview,United Kingdom,K02000001,20/01/2021,3411,464036
overview,United Kingdom,K02000001,19/01/2021,3759,460625
overview,United Kingdom,K02000001,18/01/2021,4565,456866
overview,United Kingdom,K02000001,17/01/2021,2239,452301
overview,United Kingdom,K02000001,16/01/2021,2620,450062
overview,United Kingdom,K02000001,15/01/2021,4208,447442
overview,United Kingdom,K02000001,14/01/2021,5257,443234
overview,United Kingdom,K02000001,13/01/2021,9745,437977
overview,United Kingdom,K02000001,12/01/2021,16065,428232
overview,United Kingdom,K02000001,11/01/2021,20768,412167
overview,United Kingdom,K02000001,10/01/2021,,391399
